City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mahébourg,75,MU,1586651664,83,-20.41,57.7,78.01,5.82
Saint-Joseph,22,RE,1586651664,73,-21.37,55.62,75.2,4.7
Camocim,100,BR,1586651664,90,-2.9,-40.84,77.95,4.9
Igrim,95,RU,1586651551,92,63.19,64.42,26.62,5.3
Kahului,20,US,1586651665,58,20.89,-156.47,82.4,17.22
Hilo,90,US,1586651665,69,19.73,-155.09,80.6,9.17
Pouébo,26,NC,1586651665,56,-20.4,164.57,82.72,4.99
Banjar,20,ID,1586651666,78,-8.19,114.97,82.4,4.7
Ngunguru,68,NZ,1586651666,81,-35.62,174.5,69.01,18.99
Griffith,90,US,1586651532,36,41.53,-87.42,62.6,13.87
Sabla,52,NG,1586651666,18,12.75,4.71,86.31,9.08
Inta,22,RU,1586651666,93,66.03,60.17,12.83,6.08
Anadyr,75,RU,1586651666,77,64.75,177.48,6.8,13.42
Saskylakh,11,RU,1586651666,90,71.92,114.08,1.13,12.41
Oktyabr'skoye,100,RU,1586651666,80,43.06,44.74,41.0,4.47
Sisimiut,96,GL,1586651404,78,66.94,-53.67,34.81,7.09
Chicama,63,PE,1586651667,67,-7.84,-79.15,76.19,7.67
Thompson,90,CA,1586651667,73,55.74,-97.86,19.4,16.11
Sittwe,6,MM,1586651414,86,20.15,92.9,74.93,4.59
Carnarvon,14,AU,1586651667,94,-24.87,113.63,77.0,12.75
Cape Town,75,ZA,1586651493,93,-33.93,18.42,64.99,21.92
Half Moon Bay,90,US,1586651667,81,37.46,-122.43,66.0,8.05
Toora-Khem,3,RU,1586651667,59,52.47,96.11,33.98,1.57
Katsuura,75,JP,1586651667,93,35.13,140.3,52.0,10.29
Quesnel,1,CA,1586651667,24,53.0,-122.5,42.8,11.41
Santa Inês,52,BR,1586651668,94,-3.67,-45.38,76.51,2.91
Jhawarian,93,PK,1586651668,33,32.36,72.62,75.69,3.87
Iqaluit,90,CA,1586651668,73,63.75,-68.51,24.8,9.17
Port Elizabeth,92,ZA,1586651668,49,-33.92,25.57,68.0,6.93
Huilong,27,CN,1586651551,75,31.81,121.66,52.0,3.0
Anzio,5,IT,1586651400,93,41.49,12.62,57.99,3.36
Walvis Bay,0,NA,1586651668,72,-22.96,14.51,66.2,2.24
Kansanshi,71,ZM,1586651668,65,-12.1,26.43,60.62,3.85
East London,85,ZA,1586651406,67,-33.02,27.91,73.74,1.92
Tuktoyaktuk,20,CA,1586651478,84,69.45,-133.04,6.8,10.29
Pangai,75,TO,1586651668,69,-19.8,-174.35,80.6,6.93
Broken Hill,0,AU,1586651669,47,-31.95,141.43,57.2,12.75
Hithadhoo,5,MV,1586651669,67,-0.6,73.08,84.36,8.81
George Town,20,MY,1586651669,88,5.41,100.34,82.4,2.62
Constitución,61,CL,1586651669,83,-35.33,-72.42,52.86,11.39
Sechura,60,PE,1586651669,66,-5.56,-80.82,77.65,15.97
Geraldton,75,AU,1586651669,100,-28.77,114.6,73.99,4.7
San Cristobal,40,VE,1586651669,43,7.77,-72.22,89.6,18.34
Torbay,90,CA,1586651669,74,47.67,-52.73,35.01,24.16
Provideniya,100,RU,1586651669,92,64.38,-173.3,32.81,6.91
Aragarças,24,BR,1586651669,76,-15.9,-52.25,75.16,1.3
Rabat,75,MA,1586651670,82,33.99,-6.84,62.6,8.05
Uberaba,7,BR,1586651561,38,-19.75,-47.93,77.0,2.53
Jumla,0,NP,1586651670,22,29.27,82.18,43.68,5.82
Dingle,28,PH,1586651670,71,11.0,122.67,81.97,4.68
Mana,100,GF,1586651670,83,5.66,-53.78,77.04,8.37
Yellowknife,40,CA,1586651670,52,62.46,-114.35,19.4,16.11
Raudeberg,100,NO,1586651670,93,61.99,5.14,45.0,20.8
Qasigiannguit,83,GL,1586651670,68,68.82,-51.19,28.4,9.17
Lebu,0,CL,1586651670,70,-37.62,-73.65,53.51,15.1
Makaha,40,US,1586651671,69,21.47,-158.22,82.4,9.17
Hualmay,47,PE,1586651671,75,-11.1,-77.61,73.18,6.22
Esperance,99,AU,1586651671,50,-33.87,121.9,75.2,19.46
Mopipi,13,BW,1586651531,39,-21.18,24.88,70.57,7.0
Albury,0,AU,1586651671,71,-36.08,146.92,55.99,3.36
Goba,9,ET,1586651671,39,7.02,39.98,50.14,3.87
Saint-Philippe,26,RE,1586651671,73,-21.36,55.77,75.2,4.7
Tasiilaq,85,GL,1586651671,53,65.61,-37.64,26.6,11.41
Quelimane,61,MZ,1586651671,87,-17.88,36.89,67.06,3.36
Khatanga,66,RU,1586651671,94,71.97,102.5,8.1,8.23
Hofn,67,IS,1586651671,83,64.25,-15.21,34.59,17.85
Liwale,88,TZ,1586651672,84,-9.77,37.93,68.56,5.3
Mareeba,55,AU,1586651672,66,-17.0,145.43,87.01,2.24
Narsaq,100,GL,1586651672,48,60.92,-46.05,41.0,46.08
Banjarmasin,20,ID,1586651672,100,-3.32,114.59,78.8,5.82
Vaini,20,TO,1586651664,65,-21.2,-175.2,80.6,5.82
Vila Velha,90,BR,1586651456,83,-20.33,-40.29,75.99,2.24
Carutapera,100,BR,1586651672,87,-1.2,-46.02,80.26,8.57
Santa Isabel Rio Negro,100,BR,1586651672,97,-0.41,-65.02,73.15,1.97
Gucheng,0,CN,1586651673,33,35.91,111.32,52.0,2.46
Tuatapere,56,NZ,1586651673,51,-46.13,167.68,69.01,5.99
Vardø,46,NO,1586651673,92,70.37,31.11,26.24,8.48
Saint Paul Harbor,90,US,1586651673,80,57.79,-152.41,41.0,19.46
Aloleng,7,PH,1586651673,66,16.13,119.78,82.69,5.75
Touros,20,BR,1586651673,83,-5.2,-35.46,80.6,6.93
Saint Anthony,90,US,1586651673,26,45.02,-93.22,59.0,9.17
Bowen,88,AU,1586651560,62,-20.02,148.23,86.0,4.7
Flinders,0,AU,1586651673,39,-34.58,150.86,66.0,12.75
Coahuayana Viejo,20,MX,1586651669,58,18.73,-103.68,82.4,11.41
Aksarka,7,RU,1586651674,90,66.56,67.8,9.77,3.36
Rawson,0,AR,1586651674,38,-43.3,-65.1,55.98,5.35
Kalmunai,6,LK,1586651674,81,7.42,81.82,80.4,5.06
Lagoa,0,PT,1586651674,77,39.05,-27.98,61.27,10.2
Belle Fourche,75,US,1586651384,92,44.67,-103.85,27.0,14.99
Janaúba,100,BR,1586651674,76,-15.8,-43.31,73.15,3.78
Pontes e Lacerda,7,BR,1586651674,77,-15.23,-59.34,73.71,2.55
Mayumba,99,GA,1586651674,88,-3.43,10.66,78.3,12.44
Katiola,20,CI,1586651674,83,8.13,-5.1,78.8,4.7
Aklavik,5,CA,1586651675,49,68.22,-135.01,24.8,8.05
Akdepe,96,TM,1586651675,87,42.06,59.38,51.8,9.17
Tiznit Province,100,MA,1586651675,72,29.58,-9.5,58.73,3.44
La Orilla,54,MX,1586651675,62,17.98,-102.23,82.29,5.5
Ribeira Grande,0,PT,1586651675,73,38.52,-28.7,61.66,6.62
Ahipara,93,NZ,1586651393,74,-35.17,173.17,68.47,16.51
Lefka,0,CY,1586651675,76,35.11,32.85,57.0,9.17
Kâhta,0,TR,1586651675,42,37.79,38.62,48.2,6.93
Bengkulu,31,ID,1586651675,81,-3.8,102.27,79.16,4.65
Yar-Sale,18,RU,1586651676,93,66.83,70.83,8.98,6.46
Yarmouth,1,US,1586651676,33,41.71,-70.23,46.99,4.7
Yumen,100,CN,1586651546,23,40.28,97.2,45.57,5.01
Moose Factory,90,CA,1586651676,86,51.26,-80.61,26.6,8.05
Mama,100,RU,1586651525,72,58.31,112.9,35.98,3.24
Saint George,1,US,1586651676,28,37.1,-113.58,69.8,16.11
Faanui,46,PF,1586651388,76,-16.48,-151.75,82.58,14.16
Qujing,100,CN,1586651676,44,25.48,103.78,50.05,5.91
Tuy Hoa,76,VN,1586651502,80,13.08,109.3,79.07,1.83
Waipawa,29,NZ,1586651677,63,-41.41,175.52,64.4,26.4
Ostrovnoy,28,RU,1586651677,93,68.05,39.51,15.42,12.17
Saldanha,99,ZA,1586651677,93,-33.01,17.94,60.8,16.11
Cherskiy,99,RU,1586651677,96,68.75,161.3,19.6,14.63
Fairlie,90,GB,1586651677,93,55.76,-4.86,50.0,8.05
Banda Aceh,45,ID,1586651677,80,5.56,95.32,80.22,1.83
Saint-Augustin,96,CA,1586651677,98,51.23,-58.65,31.12,5.97
Daoukro,84,CI,1586651677,82,7.06,-3.96,74.98,2.13
Kananga,100,CD,1586651678,78,-5.9,22.42,72.01,2.91
Antalaha,19,MG,1586651678,85,-14.9,50.28,76.19,12.62
Gazojak,98,TM,1586651678,34,41.19,61.4,59.47,7.56
Olinda,20,BR,1586651678,70,-8.01,-34.86,84.2,6.93
Luganville,40,VU,1586651678,70,-15.53,167.17,84.2,8.05
Vila Franca do Campo,20,PT,1586651678,76,37.72,-25.43,57.2,11.41
Nanortalik,100,GL,1586651678,77,60.14,-45.24,36.54,33.8
Castro,6,BR,1586651678,71,-24.79,-50.01,56.75,4.76
Pitimbu,35,BR,1586651678,88,-7.47,-34.81,78.8,6.93
Karpathos,1,GR,1586651678,87,35.51,27.21,59.0,11.41
Mezhdurechensk,0,RU,1586651679,90,53.69,88.06,29.55,2.53
Kununurra,60,AU,1586651679,74,-15.77,128.73,82.4,5.82
Kaabong,66,UG,1586651679,40,3.48,34.15,70.02,9.33
Yangi Marg`ilon,100,UZ,1586651679,71,40.43,71.72,55.4,6.93
Port Lincoln,90,AU,1586651404,60,-34.73,135.87,58.33,7.74
Fortuna,90,US,1586651652,81,40.6,-124.16,57.0,11.41
Waliso,17,ET,1586651679,34,8.53,37.98,63.32,9.69
Korla,69,CN,1586651680,46,41.76,86.15,57.99,3.0
Hobyo,4,SO,1586651680,75,5.35,48.53,81.97,11.1
Altamont,20,US,1586651680,47,42.21,-121.74,57.99,16.11
Iquitos,40,PE,1586651681,88,-3.75,-73.25,78.8,2.24
Mackay,64,AU,1586651681,62,-21.15,149.2,87.01,4.7
Kirakira,94,SB,1586651553,70,-10.45,161.92,85.53,7.72
Dwārka,28,IN,1586651682,76,22.24,68.97,79.86,15.79
Kalmar,100,SE,1586651682,70,56.66,16.36,44.6,9.17
Egvekinot,0,RU,1586651685,82,66.32,-179.17,18.52,1.45
Ambon City,40,ID,1586651421,70,-3.7,128.18,87.8,5.82
Jinxi,0,CN,1586651686,63,30.43,116.29,51.73,6.15
Igarka,100,RU,1586651686,97,67.47,86.58,35.62,19.35
Alta Floresta,88,BR,1586651686,89,-9.88,-56.09,73.51,2.66
Złotów,99,PL,1586651686,41,53.36,17.04,42.8,8.05
Port Blair,78,IN,1586651467,72,11.67,92.75,82.06,7.43
Chui,17,UY,1586651686,76,-33.7,-53.46,62.35,6.42
Sobolevo,0,RU,1586651592,83,54.43,31.9,31.87,6.78
Viedma,80,AR,1586651687,53,-40.81,-63.0,55.54,5.95
Straumen,100,NO,1586651687,86,63.87,11.3,41.0,11.41
Udachny,44,RU,1586651688,68,66.42,112.4,26.6,8.95
Rome,1,US,1586651657,44,43.21,-75.46,41.0,6.93
Tirumullaivāsal,0,IN,1586651688,74,11.23,79.83,80.08,4.29
Corrente,95,BR,1586651688,95,-3.74,-43.34,75.42,2.55
Hervey Bay,20,AU,1586651688,30,-25.3,152.85,80.6,10.29
Araguaçu,37,BR,1586651688,82,-12.93,-49.83,75.97,3.74
Solikamsk,100,RU,1586651667,88,59.62,56.77,33.84,5.61
Krasnosel'kup,100,RU,1586651689,97,65.7,82.47,35.56,20.0
Neiafu,75,TO,1586651689,65,-18.65,-173.98,82.4,11.41
Rongcheng,2,CN,1586651692,74,30.63,117.85,50.25,4.68
Nelson,93,NZ,1586651614,74,-41.28,173.28,64.0,1.99
Swanzey,20,US,1586651692,48,42.87,-72.28,45.0,8.05
Sarh,99,TD,1586651692,65,9.14,18.39,77.0,5.08
Copiapó,40,CL,1586651693,77,-27.37,-70.33,60.8,6.93
Garissa,98,KE,1586651693,69,-0.45,39.64,79.56,14.25
Uusikaupunki,100,FI,1586651694,74,60.8,21.41,35.6,8.05
Srednekolymsk,82,RU,1586651694,96,67.45,153.68,28.29,12.66
Yinchuan,0,CN,1586651694,28,38.47,106.27,45.32,3.13
Emerald,0,AU,1586651694,20,-23.53,148.17,84.2,13.87
Cap-aux-Meules,40,CA,1586651403,80,47.38,-61.86,33.8,13.87
Panyutyne,22,UA,1586651698,72,48.93,36.28,37.81,12.8
São Gabriel da Cachoeira,100,BR,1586651698,94,-0.13,-67.09,75.49,4.63
Khani,75,GE,1586651698,100,41.96,42.96,42.8,1.12
Angoram,89,PG,1586651698,82,-4.06,144.07,84.54,0.58
Vanimo,62,PG,1586651698,77,-2.67,141.3,83.46,1.54
Makakilo City,20,US,1586651699,58,21.35,-158.09,82.4,12.75
Omboué,100,GA,1586651699,92,-1.57,9.26,76.66,12.59
Guerrero Negro,5,MX,1586651699,60,27.98,-114.06,64.08,19.86
Nichinan,75,JP,1586651699,87,31.6,131.37,55.4,4.7
Ampanihy,95,MG,1586651422,62,-24.7,44.75,73.11,6.87
Longyearbyen,20,SJ,1586651699,69,78.22,15.64,-7.6,5.82
Lüderitz,0,NA,1586651700,87,-26.65,15.16,57.2,4.7
Penzance,0,GB,1586651550,76,50.12,-5.54,53.01,1.12
Shenjiamen,28,CN,1586651700,69,29.96,122.3,52.59,28.7
Mangai,99,CD,1586651700,87,-4.05,19.53,71.92,1.83
Renfrew,90,GB,1586651700,93,55.87,-4.39,51.01,8.05
Lorengau,36,PG,1586651700,68,-2.02,147.27,84.99,2.37
Richards Bay,49,ZA,1586651701,81,-28.78,32.04,71.47,14.45
Corinth,0,GR,1586651701,58,37.94,22.96,62.01,2.24
Rāwatsār,56,IN,1586651643,33,29.28,74.38,79.18,6.04
Rosarito,40,MX,1586651701,67,32.33,-117.03,66.0,10.29
Pasni,45,PK,1586651701,76,25.26,63.47,76.19,2.51
Sol'-Iletsk,32,RU,1586651701,64,51.16,54.99,41.09,9.84
Tizimín,1,MX,1586651702,42,21.15,-88.15,87.69,11.03
Kawalu,12,ID,1586651702,74,-7.38,108.21,75.52,1.16
Levashi,20,RU,1586651702,66,42.43,47.32,51.8,17.9
San Quintín,17,MX,1586651702,73,30.48,-115.95,61.59,17.52
Shimoda,75,JP,1586651702,87,34.67,138.95,57.2,17.22
Chikwawa,82,MW,1586651702,77,-16.03,34.8,68.95,1.63
Kadoshkino,100,RU,1586651702,86,54.03,44.42,32.27,19.15
Broome,1,US,1586651702,44,42.25,-75.83,41.0,8.05
Lavrentiya,95,RU,1586651703,96,65.58,-171.0,32.43,12.46
Margate,41,GB,1586651490,93,51.38,1.39,57.0,3.36
Verkhnevilyuysk,99,RU,1586651703,96,63.45,120.32,31.01,10.13
Tevaitoa,84,PF,1586651703,75,-16.78,-151.5,83.57,12.97
Yulara,100,AU,1586651703,24,-25.24,130.99,80.6,10.29
Shingū,75,JP,1586651703,71,33.73,135.98,53.6,4.7
Iracoubo,100,GF,1586651703,78,5.48,-53.2,79.11,11.81
Sinnamary,100,GF,1586651703,79,5.38,-52.95,79.36,13.11
Cuiluan,0,CN,1586651704,42,47.72,128.65,50.25,3.38
Berlevåg,64,NO,1586651704,92,70.86,29.09,24.87,6.85
Pevek,44,RU,1586651696,91,69.7,170.31,9.79,14.54
Los Llanos de Aridane,90,ES,1586651667,77,28.66,-17.92,66.2,10.29
Ishimbay,67,RU,1586651524,81,53.45,56.04,37.31,6.13
Bulolo,88,PG,1586651704,52,-7.2,146.65,82.44,0.54
Hong Kong,20,HK,1586651415,59,22.29,114.16,66.2,17.22
Slave Lake,90,CA,1586651460,68,55.28,-114.77,28.4,6.93
Douentza,45,ML,1586651705,29,15.0,-2.95,87.94,11.27
Darłowo,100,PL,1586651705,63,54.42,16.41,45.0,10.83
Talnakh,75,RU,1586651705,93,69.49,88.4,33.8,31.32
Atambua,79,ID,1586651705,73,-9.11,124.89,77.74,2.84
Malakal,37,SS,1586651705,29,9.53,31.66,86.97,6.06
Santa Lucía,40,ES,1586651705,72,27.91,-15.54,66.2,18.34
Laramie,90,US,1586651482,34,41.31,-105.59,57.2,28.86
Kumul,32,CN,1586651706,23,42.8,93.45,52.66,3.56
Kruisfontein,95,ZA,1586651706,54,-34.0,24.73,61.36,5.97
Okha,56,RU,1586651706,97,53.57,142.95,30.92,13.62
Carquefou,1,FR,1586651706,87,47.3,-1.49,55.0,1.12
Cândido Mendes,100,BR,1586651706,92,-1.45,-45.72,78.35,3.83
Pangody,100,RU,1586651706,95,65.85,74.49,18.43,6.73
Baturaja,71,ID,1586651706,92,-4.13,104.17,75.7,0.65
Mahon,27,ES,1586651706,82,39.89,4.27,55.4,8.05
Acaraú,100,BR,1586651707,87,-2.89,-40.12,78.66,4.68
Arona,75,ES,1586651708,72,28.1,-16.68,66.2,11.41
Plettenberg Bay,98,ZA,1586651708,58,-34.05,23.37,64.36,3.71
Nuevo Progreso,85,MX,1586651708,70,23.17,-97.95,82.0,3.0
Hasaki,75,JP,1586651708,87,35.73,140.83,52.0,10.29
Kisangani,96,CD,1586651460,82,0.52,25.2,72.82,2.26
Alyangula,85,AU,1586651708,66,-13.85,136.42,86.0,6.93
Sampit,82,ID,1586651708,92,-2.53,112.95,77.14,0.81
Henties Bay,2,NA,1586651708,88,-22.12,14.28,63.0,5.01
Souillac,75,MU,1586651708,83,-20.52,57.52,78.01,5.82
Seoul,1,KR,1586651654,57,37.57,126.98,51.8,4.7
Orán,2,AR,1586651709,85,-23.13,-64.33,69.01,1.63
Hamilton,20,US,1586651412,59,39.18,-84.53,57.99,6.93
Andapa,38,MG,1586651709,78,-14.65,49.65,67.66,2.71
Tourlaville,0,FR,1586651709,54,49.64,-1.57,55.99,6.93
Angoche,57,MZ,1586651709,81,-16.23,39.91,73.15,5.3
Pisco,40,PE,1586651709,73,-13.7,-76.22,73.99,16.11
Tot'ma,9,RU,1586651628,92,59.97,42.76,25.16,3.98
Clifton,1,US,1586651601,31,40.86,-74.16,54.0,4.7
Assiniboia,98,CA,1586651433,63,49.63,-105.98,28.78,16.93
Zapadnaya Dvina,72,RU,1586651710,90,56.26,32.07,30.87,3.67
Thinadhoo,0,MV,1586651710,63,0.53,72.93,83.97,4.54
Mosquera,40,CO,1586651710,82,4.71,-74.23,59.0,6.93
Tabas,100,IR,1586651710,77,33.6,56.92,64.4,4.7
Nizhnevartovsk,97,RU,1586651710,97,60.93,76.55,37.4,6.71
Norman Wells,20,CA,1586651710,50,65.28,-126.83,28.4,6.93
São Filipe,93,CV,1586651710,74,14.9,-24.5,75.38,9.22
Asheville,1,US,1586651554,26,35.6,-82.55,60.01,10.29
Dossor,0,KZ,1586651710,61,47.53,52.98,45.46,9.33
Bud,1,US,1586651711,28,39.45,-86.18,59.0,8.05
Ouésso,100,CG,1586651711,87,1.61,16.05,70.81,3.56
Harlingen,1,US,1586651688,69,26.19,-97.7,84.2,12.8
Auki,91,SB,1586651711,67,-8.77,160.7,85.33,2.66
Nikolskoye,3,RU,1586651711,92,59.7,30.79,26.6,2.98
Tazmalt,40,DZ,1586651711,87,36.39,4.4,57.2,3.36
Solotcha,90,RU,1586651711,99,54.79,39.84,28.99,13.11
Upernavik,100,GL,1586651711,88,72.79,-56.15,19.35,1.74
Zverinogolovskoye,99,RU,1586651712,79,54.46,64.85,38.75,8.52
Makokou,99,GA,1586651712,84,0.57,12.86,68.18,3.06
Lamu,98,KE,1586651712,84,-2.27,40.9,80.29,7.02
Lompoc,75,US,1586651650,72,34.64,-120.46,71.01,14.99
Messaria,0,GR,1586651712,56,36.4,25.45,61.0,10.0
Vostok,34,RU,1586651712,51,46.49,135.88,37.62,4.59
Alghero,0,IT,1586651712,93,40.56,8.32,46.4,2.24
Washougal,1,US,1586651712,36,45.58,-122.35,63.0,4.7
Baruun-Urt,0,MN,1586651712,29,46.68,113.28,45.68,7.11
Salinas,90,US,1586651713,71,36.68,-121.66,66.0,9.17
Mehamn,82,NO,1586651713,95,71.04,27.85,23.49,7.36
Batagay-Alyta,89,RU,1586651713,87,67.8,130.41,25.81,4.81
Erenhot,0,CN,1586651442,33,43.65,111.98,42.39,6.78
Malanje,60,AO,1586651713,69,-9.54,16.34,64.04,0.83
Klaksvík,100,FO,1586651713,86,62.23,-6.59,39.2,28.86
Canutama,78,BR,1586651713,94,-6.53,-64.38,76.33,3.42
Sulangan,15,PH,1586651713,75,11.14,123.72,81.52,7.27
Vaxjo,100,SE,1586651713,93,56.88,14.81,43.0,9.17
Dezhou,0,CN,1586651504,29,37.45,116.29,57.63,15.21
Dagana,46,MR,1586651714,20,16.52,-15.51,93.2,2.24
Ilulissat,90,GL,1586651714,68,69.22,-51.1,28.4,9.17
Eston,75,CA,1586651714,58,51.15,-108.75,24.8,18.34
Laje,99,BR,1586651715,74,-10.18,-40.97,73.44,0.25
Thabazimbi,0,ZA,1586651715,88,-24.59,27.41,55.0,1.88
Sangar,99,RU,1586651717,94,63.92,127.47,32.29,7.25
Fuxin,0,CN,1586651717,37,42.02,121.66,52.39,12.95
George,94,ZA,1586651502,87,-33.96,22.46,60.8,6.93
Libertador General San Martín,17,AR,1586651717,53,-23.81,-64.79,66.54,0.29
Markova,7,UA,1586651720,66,48.68,24.41,35.4,2.13
Sorbhog,0,IN,1586651720,38,26.5,90.87,71.58,6.06
Alofi,98,NU,1586651720,66,-19.06,-169.92,84.2,11.41
Yeppoon,75,AU,1586651721,48,-23.13,150.73,84.2,9.17
Christchurch,63,NZ,1586651721,45,-43.53,172.63,69.01,11.41
Milyutinskaya,27,RU,1586651721,74,48.63,41.67,37.62,7.31
Saint-François,10,FR,1586651721,81,46.42,3.91,53.01,3.36
Funtua,100,NG,1586651721,16,11.52,7.31,76.84,6.49
Arrondissement de Saint-Denis,66,FR,1586651625,62,48.92,2.33,63.0,4.7
Muros,90,ES,1586651722,93,42.78,-9.06,55.0,5.82
Gizo Government Station,90,SB,1586651722,68,-8.1,156.84,86.81,4.14
